schoolCode, schoolName, departmentCode, departmentName, departmentAbbreviation, departmentType, genderRequirement, practicalExam, notifyOrAnnounceExam, documentSubmissionDeadline, examStartDate, examEndDate, examDate1, examDate2, examDate3, announcementDate, reviewDate, chineseTest, englishTest, mathATest, mathBTest, socialTest, scienceTest, englishListeningTest, chineseMultiplier, englishMultiplier, mathAMultiplier, mathBMultiplier, socialMultiplier, scienceMultiplier, customSubjectCombination, customSubjectCombinationMultiplier, sameLevelScoreExcessSelectionOrder1, sameLevelScoreExcessSelectionOrder2, sameLevelScoreExcessSelectionOrder3, sameLevelScoreExcessSelectionOrder4, programmingConceptTest, programmingConceptTestMultiplier, programmingPracticalTest, programmingPracticalTestMultiplier, chineseScoreCalculation, englishScoreCalculation, mathAScoreCalculation, mathBScoreCalculation, socialScoreCalculation, scienceScoreCalculation, selectionScoreRatio, designatedItem1, designatedItem2, designatedItem3, designatedItem4, designatedItem5, designatedItem6, designatedItem1Test, designatedItem2Test, designatedItem3Test, designatedItem4Test, designatedItem5Test, designatedItem6Test, designatedItem1ScoreRatio, designatedItem2ScoreRatio, designatedItem3ScoreRatio, designatedItem4ScoreRatio, designatedItem5ScoreRatio, designatedItem6ScoreRatio, tieBreakerOrder1, tieBreakerOrder2, tieBreakerOrder3, tieBreakerOrder4, examFee, document1, document2, document3, document4, document5, document6, documentDescription, designatedItemDescription, remarks, enrollmentQuota, maleEnrollmentQuota, femaleEnrollmentQuota, indigenousAdditionalQuota, outlyingIslandAdditionalQuota, outlyingIslandAdditionalQuotaDescription, visionProgramAdditionalQuota, expectedExamCount, practicalExamItem1Test, practicalExamItem2Test, practicalExamItem3Test, practicalExamItem4Test, practicalExamItem5Test, practicalExamItem1Multiplier, practicalExamItem2Multiplier, practicalExamItem3Multiplier, practicalExamItem4Multiplier, practicalExamItem5Multiplier, practicalExamItem1ScoreCalculation, practicalExamItem2ScoreCalculation, practicalExamItem3ScoreCalculation, practicalExamItem4ScoreCalculation, practicalExamItem5ScoreCalculation, practicalExamScoreRatio, testResult
001,國立臺灣大學,001012,中國文學系,中文系,一般,--,--,2025/3/27,2025/5/5,,,2025/5/16,,,2025/6/2,2025/5/28,前標,均標,均標,均標,均標,--,--,3,6,0,0,8,0,--,0,學測國文、英文、社會之級分總和,學測英文級分,學測社會級分,,,,,,1.5,1,0,0,1,0,40,審查資料,語文測驗筆試,寫作筆試,,,,70,0,0,0,0,0,25,20,15,0,0,0,學科能力測驗成績,語文測驗筆試,寫作筆試,,1500,修課紀錄(A),課程學習成果(B、C),多元表現(F、J、K、N),學習歷程自述(O、P、Q),,,1.AOPQN必備，其餘選備。選備至少2項，至多3項。2.B限文史哲小論文，C包含文學創作、編輯報刊、專題報導或文學展演等，BC必選至少1項。FJK至少1項。J限文史哲各類競賽（宜附得獎證明及作品）。K限報刊雜誌公開發表之文學作品或評論。3.OP各600字以內，Q300字以內。O須說明選修與本系領域相關課程之動機理由及心得。,"1.筆試時間：5月16日（五）8:40-10:20寫作，10:50-12:30語文測驗。
2.筆試地點：請於5月15日（四）10:00起逕至本系網頁查詢。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.聯絡電話：（02）33664003。
3.本系網址：http://www.cl.ntu.edu.tw。
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",23,0,0,0,0,,0,69,,,,,,,,,,,,,,,,,社=12、英=10、國=15、有
001,國立臺灣大學,001022,外國語文學系,外文系,一般,--,--,2025/3/27,2025/5/5,,,2025/5/17,,,2025/6/2,2025/5/28,前標,頂標,均標,均標,前標,--,A級,0,2.5,0,0,0,0,--,0,學測國文、英文、社會之級分總和,學測國文級分,學測社會級分,,,,,,1,2,0,0,1,0,20,審查資料,英文作文筆試,英語口試測驗,,,,0,0,0,0,0,0,40,20,20,0,0,0,指定項目甄試成績,英文作文筆試,學科能力測驗成績,英語口試測驗,1500,修課紀錄(A),課程學習成果(B、E),多元表現(L、M、N),學習歷程自述(O、P、Q),,,多元表現（L.檢定證照）：係指英語能力檢定證明。,"1.本系提供考生於報名時填寫口試時段志願序，僅為參考，無法保證排定為最佳時段。
2.指定項目考試期間：5月17日(六)，11:00-12:00筆試；13:30-17:30口試。
3.各科考試時間、地點於5月14日(三)16:00以後公布於本系網站「最新消息-大學部學生事務」。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.聯絡電話：(02)33663216
3.本系網址：https://www.forex.ntu.edu.tw/
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",49,0,0,0,1,1名限金門縣,0,123,,,,,,,,,,,,,,,,,英=15、有
001,國立臺灣大學,001032,歷史學系,歷史系,一般,--,--,2025/3/27,2025/5/5,,,2025/5/15,,,2025/6/2,2025/5/28,前標,前標,均標,均標,前標,--,--,6,4,0,0,3,0,--,0,學測國文、英文、社會之級分總和,學測英文級分,學測國文級分,,,,,,1,1,0,0,1,0,40,審查資料,筆試,,,,,75,0,0,0,0,0,40,20,0,0,0,0,筆試,審查資料,學科能力測驗成績,學測社會級分,1500,修課紀錄(A),課程學習成果(B、E),多元表現(F、J、K、L、N),學習歷程自述(O、P、Q),,,請詳閱本校歷史學系「書面資料準備指引」。,"一、筆試時間：5月15日 (四) 14:20-16:20
二、筆試地點、考生須知：5月14日 (三) 11:00 公告於本系網站，不另通知。
三、考生座位表：5月15日(四)中午12:00起，張貼考生座位表於筆試試場外。
四、筆試為一科考試，時間120分鐘，內容包含「史學思維申論」和「文獻閱讀摘要」。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.聯絡電話：(02)33664704
3.本系網址：https://homepage.ntu.edu.tw/~history/Default.html
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",23,0,0,0,0,,0,69,,,,,,,,,,,,,,,,,國=13、英=13、社=15、有
001,國立臺灣大學,001042,哲學系,哲學系,一般,--,--,2025/3/27,2025/5/5,2025/5/24,2025/5/25,,,,2025/6/2,2025/5/28,前標,前標,前標,前標,--,--,--,6,3,0,0,0,0,--,0,學測國文、英文之級分總和,學測國文級分,,,,,,,1,1,0,0,0,0,40,審查資料,口試,,,,,0,0,0,0,0,0,25,35,0,0,0,0,同級分超額篩選科目一,學測英文級分,學測國文級分,,1500,修課紀錄(A),課程學習成果(D、E),多元表現(F、N),學習歷程自述(O、P、Q),小論文,,1.多元表現(F)：可以出具自主學習之有利文件及檢定證明。2.學習歷程自述(P)：含自傳、申請動機與優勢自評(以500字為上限)。3.其他(R.小論文)：請說明你對「人類是否有道德上的責任，去確保其他生物能夠繼續生存與繁衍？」這個問題的看法，並提供理由加以論證（篇幅800字以內）,"1.本系提供考生於報名時填寫口試時段志願序，僅為參考，無法保證排定為最佳時段。
2.口試地點：水源校區行政大樓哲學系3樓會議室。
3.口試時間：5月24日(六)或5月25日(日)上午9:00起。個人口試時間，請於5月19日(一)中午12:00起逕至本系網站查詢，如有任何問題，請5月19日(一)14:00至5月22日(四)17:00期間來電或來信詢問，惟口試順序恕不接受異動。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.聯絡電話：(02)33663399。
3.本系網址：https://philo.ntu.edu.tw/home.jsp?lang=tw
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",20,0,0,0,0,,0,60,,,,,,,,,,,,,,,,,國=12、英=14、有
001,國立臺灣大學,001052,人類學系,人類系,一般,--,--,2025/3/27,2025/5/5,,,2025/5/25,,,2025/6/2,2025/5/28,--,均標,--,--,均標,--,--,0,5,0,0,0,0,國英數B社,3,學測國文、英文、數學B、社會之級分總和,學測英文級分,學測社會級分,學測國文級分,,,,,1,1,0,1,1,0,50,審查資料,口試,,,,,0,0,0,0,0,0,25,25,0,0,0,0,同級分超額篩選科目一,口試,學測英文級分,學測社會級分,1500,修課紀錄(A),課程學習成果(B、C、E),多元表現(F、M、N),學習歷程自述(O、P、Q),個人資料表,,其他(R.個人資料表)：請至本系網站下載統一表格。,"1.口試時間：5月25日(日)，個人口試時間請於5月21日(三)12:00起至本系網站最新公告查詢。口試時間表一經公告恕不接受異動，敬請見諒。
2.口試地點：水源校區行政大樓人類學系201教室。
3.口試評量比重：一般知識40%、選讀人類學的動機30%、學習態度30%。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.本系網址：https://anthro.ntu.edu.tw。審查資料若有補充說明，將公告於本系網頁，考生請自行上網參看。
3.聯絡電話：(02)33664730。
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",11,0,0,2,0,,0,33,,,,,,,,,,,,,,,,,英=14、國+英+數B+社=53、有
001,國立臺灣大學,001062,圖書資訊學系,圖資系,一般,--,--,2025/3/27,2025/5/5,,,2025/5/25,,,2025/6/2,2025/5/28,前標,前標,均標,均標,均標,--,--,5,3,0,0,0,0,國英社,6,學測國文、英文、社會之級分總和,學測國文級分,學測社會級分,,,,,,1.5,1.5,0,0,1,0,40,審查資料,口試,,,,,0,0,0,0,0,0,30,30,0,0,0,0,學測英文級分,同級分超額篩選科目一,指定項目甄試成績,,1500,修課紀錄(A),課程學習成果(B、C、E),多元表現(F、I、L、M、N),學習歷程自述(O、P、Q),本系個人資料表、選繳其他有利審查資料、選繳彌封之師長推薦函,,1.勿附學測成績。2.多元表現(L)：英外語證明種類範圍不限。3.其他(R.本系個人資料表)：請至本系網站下載統一表格。4.其他(S.選繳有利審查資料)：範圍限高中，請附「附件總表」。5.其他(T.選繳彌封之師長推薦函)：請於報名截止前(郵戳為憑)郵寄至本系，並註明「申請實體資料-姓名、學測應試號碼」。,"1.本系提供考生於報名時填寫口試時段志願序，僅為參考，無法保證排定為最佳時段。
2.口試時間：5月25日(日)。
3.考試地點及個人口試時間，請於5月21日(三)13:00起逕至本系網址查詢，如有任何問題，請於5月21日(三)14:00起至5月23日(五)17:00期間來電詢問，惟口試順序恕不接受異動。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.本系網址：https://www.lis.ntu.edu.tw。
3.聯絡電話：(02)33662952大學部招生承辦助教。
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",23,0,0,0,1,1名限澎湖縣,0,69,,,,,,,,,,,,,,,,,國+英+社=40、國=14、英=14、有
001,國立臺灣大學,001072,日本語文學系,日文系,一般,--,--,2025/3/27,2025/5/5,,,2025/5/18,,,2025/6/2,2025/5/28,前標,前標,均標,均標,前標,--,--,3,3,0,0,4,0,國英社,5,學測國文、英文、社會之級分總和,學測英文級分,學測國文級分,,,,,,1.5,1.5,0,0,1,0,50,審查資料,口試,,,,,0,0,0,0,0,0,20,30,0,0,0,0,口試,學科能力測驗成績,審查資料,,1500,修課紀錄(A),課程學習成果(B、E),多元表現(F、K、L、M、N),學習歷程自述(O、P、Q),個人資料表及自傳,,1.多元表現（F.K.L.M.N）包含英、日語等相關語言檢定證明或其他特殊表現證明等資料，範圍限高中。2.個人資料表及自傳（R）（必繳）限用本系統一表格，請逕至本系網頁中最新消息之招生公告下載表格。,"1.本系提供考生於報名時填寫口試時段志願序，僅為參考，無法保證排定最佳時段。口試時間公布後，恕不接受變更。
2.口試時間：5月18日（日）。
3.口試詳細時間及地點，請於5月14日（三）15:00起逕至本系網址查詢，不另函通知。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.聯絡電話：(02)3366-2789
3.本系網址：https://japan.ntu.edu.tw/
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",25,0,0,0,1,1名限金門縣,0,75,,,,,,,,,,,,,,,,,國+英+數B+社=51、社=14、國+英=27、有
001,國立臺灣大學,001082,戲劇學系,戲劇系,一般,混合,--,2025/3/27,2025/5/5,,,2025/5/24,,,2025/6/2,2025/5/28,前標,前標,--,均標,均標,--,--,5,3,0,10,15,0,國英數B社,8,學測國文、英文、數學B、社會之級分總和,,,,,,,,1,1,0,1,1,0,50,審查資料,口試,,,,,0,80,0,0,0,0,20,30,0,0,0,0,指定項目甄試成績,學測英文級分,學測國文級分,,1500,修課紀錄(A),多元表現(J、K、M、N),學習歷程自述(O、P、Q),,,,1.請於3月27日(四)中午12:00起至本系招生網址(http://theatre.ntu.edu.tw/admissions-undergraduate)下載審查資料繳交說明並依規定辦理。2.請勿上傳學測成績單。,"1.口試時間：5月24日(六)上午起。口試地點：校總區一號館戲劇學系。
2.請於5月7日(三)中午12:00起至5月12日(一)中午12:00止至本系招生網址(http://theatre.ntu.edu.tw/admissions-undergraduate)填報「選考組別」，未完成者視同放棄。其他考試資訊請詳網頁。
3.口試分三大領域：表演能力、設計技術及創作力，考生得擇一領域應試。(此為考試分組，入學後不分組)","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.聯絡電話：(02)33663303。
3.本系網址：http://theatre.ntu.edu.tw/。
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",17,8,9,3,0,,0,51,,,,,,,,,,,,,,,,,無資料
001,國立臺灣大學,001092,數學系,數學系,一般,--,--,2025/3/27,2025/5/5,,,2025/5/18,,,2025/6/2,2025/5/28,--,前標,頂標,--,--,頂標,--,0,0,3,0,0,10,--,0,學測英文、數學A、自然之級分總和,學測自然級分,學測英文級分,,,,,,0,0,0,0,0,0,0,審查資料,數學筆試,,,,,0,0,0,0,0,0,45,55,0,0,0,0,數學筆試,審查資料,,,1500,修課紀錄(A),課程學習成果(D),多元表現(J、K、M、N),學習歷程自述(O、P),數學學習自述書、推薦信,,"1.修課紀錄(A)：著重數學科目及其加深加廣選修表現。2.多元表現(J,K,M,N)：參加數學相關競賽表現擇優三次成績、其他可資證明適合就讀本系之表現優良事蹟擇優三項、成果作品(如科展作品、研究報告)。前述3項須至少擇一提供。3.其他(R)數學學習自述書以及(S)推薦信格式請至本系網頁下載。推薦信請透過甄選會上傳系統繳交。","1.考試時間：5月18日(日)10:00-12:00筆試(一)、14:00-16:00筆試(二)。兩場都要參加。
2.筆試地點：試場位置於考前一日公告於本系網頁。
3.數學筆試以高中教材為主，但不限高中教材，內容涵蓋：中學代數(整數、多項式、三角函數、數列級數、排列組合等)、中學幾何(平面幾何、空間解析幾何、向量、圓錐曲線等)、微積分(單變數)和線性代數(線性聯立方程式、矩陣、行列式等)等。並可參考高中數學實驗教材。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.聯絡電話：(02)33662815。
3.本系網址：http://www.math.ntu.edu.tw。
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",17,0,0,0,0,,0,51,,,,,,,,,,,,,,,,,自=13、數A=14、有
001,國立臺灣大學,001102,物理學系,物理系,一般,--,--,2025/3/27,2025/5/5,,,2025/5/16,,,2025/6/2,2025/5/28,均標,均標,前標,--,--,前標,--,0,0,3,0,0,6,--,0,學測國文、英文、數學A、自然之級分總和,學測自然級分,,,,,,,0,0,0,0,0,0,0,審查資料,物理筆試,數學筆試,,,,60,30,30,0,0,0,45,30,25,0,0,0,物理筆試,數學筆試,審查資料,,1500,修課紀錄(A),課程學習成果(D),多元表現(F、M、N),學習歷程自述(P、Q),,,多元表現(M特殊優良表現證明)：著重與本系相關的學科表現(如：參與物理相關之培訓計畫)、科展競賽成果，另可檢附學生認為有利審查之資料。,"1.筆試時間：5月16日(五)8:00-10:00物理筆試，10:20-12:20數學筆試。
2.筆試地點：校總區物理系與凝態科學研究中心大樓111、112教室。
3.個人筆試詳細地點將於5月15日(四)上午10:00起公布於本系網站。","1.本系參加校內聯合分發，請見「本校重要事項說明」。
2.聯絡電話：(02)23627007或33665122。本系網址：https://www.phys.ntu.edu.tw/Default.html
3.考生請依規定時間地點準時報到、應試，不再另函通知。考生攜帶物品：身分證件正本、文具用品。
4.通過第一階段篩選者，請務必於報名前至https://reg.aca.ntu.edu.tw/114app.asp詳閱本校招生須知，報名及繳費至5月5日止。",28,0,0,0,1,1名限澎湖縣,0,84,,,,,,,,,,,,,,,,,自=14、數A=14、有
